count_users
4
count_notetakers
3
count_students
1
count_admins
1
1,2018-04-29 20:52:33,2018-05-05 20:52:33
student_download_within_12_hours_of_notification,start_of_week,end_of_week
2,2018-03-25 01:11:31,2018-03-31 01:11:31
2,2018-04-01 23:20:55,2018-04-07 23:20:55
1,2018-04-22 12:27:38,2018-04-28 12:27:38
1,2018-04-29 20:52:33,2018-05-05 20:52:33
student_download_within_24_hours_of_notification,start_of_week,end_of_week
2,2018-03-25 01:11:31,2018-03-31 01:11:31
2,2018-04-01 23:20:55,2018-04-07 23:20:55
2,2018-04-15 22:57:03,2018-04-21 22:57:03
2,2018-04-22 12:27:38,2018-04-28 12:27:38
1,2018-04-29 20:52:33,2018-05-05 20:52:33
student_download_within_48_hours_of_notification,start_of_week,end_of_week
2,2018-03-25 01:11:31,2018-03-31 01:11:31
2,2018-04-01 23:20:55,2018-04-07 23:20:55
3,2018-04-15 22:57:03,2018-04-21 22:57:03
3,2018-04-22 20:51:35,2018-04-28 20:51:35
3,2018-04-29 01:16:44,2018-05-05 01:16:44
student_download_within_1_week_of_notification,start_of_week,end_of_week
2,2018-03-11 01:51:41,2018-03-17 01:51:41
4,2018-03-18 14:23:09,2018-03-24 14:23:09
2,2018-03-25 01:11:31,2018-03-31 01:11:31
2,2018-04-01 23:20:55,2018-04-07 23:20:55
3,2018-04-08 02:40:18,2018-04-14 02:40:18
3,2018-04-15 22:57:03,2018-04-21 22:57:03
4,2018-04-22 22:47:31,2018-04-28 22:47:31
3,2018-04-29 01:16:44,2018-05-05 01:16:44
